"File Path: U:\pchome\.pcprefs\Desktop\Fall2021Group3\Test Run 270 11-22-21 17 50 20 PM\DAQ- Crosshead, … - (Timed).csv   "
"Test: geotextile fabric extension test July 2019 Wilson"
"Test Run: Test Run 270"
"Date: 11/22/2021 5:25:47 PM"
""
""
"Crosshead ","Load ","Time "
"mm","N","sec"
"0.174149347003549","10.2220096588135","0.0810000002384186"
"0.34359356504865","13.1498203277588","0.148000001907349"
"0.508987810462713","13.4888820648193","0.214000001549721"
"0.676645257044584","16.6994972229004","0.28099998831749"
"0.844183610752225","21.8817615509033","0.34799998998642"
"1.00933958310634","26.4197998046875","0.414000004529953"
"1.17705657612532","30.3143711090088","0.481000006198883"
"1.34459498804063","33.5451202392578","0.547999978065491"
"1.50963186752051","37.1542472839355","0.614000022411346"
"1.6773488605395","41.0210647583008","0.680999994277954"
"1.84494676068425","44.0665321350098","0.748000025749207"
"2.00992403551936","46.4205627441406","0.814000010490417"
"2.17764102853835","48.2145500183105","0.880999982357025"
"2.34506046399474","49.6212844848633","0.948000013828278"
"2.50997813418508","50.776611328125","1.01400005817413"
"2.67757591791451","51.8776969909668","1.0809999704361"
"2.84511432982981","52.8323173522949","1.14800000190735"
"3.0101512093097","53.7560348510742","1.21399998664856"
"3.177689621225","54.6378898620605","1.28100001811981"
"3.34540661424398","55.447811126709","1.34800004959106"
"3.51038388907909","56.2053184509277","1.41400003433228"
"3.67780309170485","56.9874267578125","1.48099994659424"
"3.84528189897537","57.7461357116699","1.54799997806549"
"4.01031877845526","58.5166244506836","1.6139999628067"
"4.17785719037056","59.2667198181152","1.68099999427795"
"4.34539560228586","59.9827156066895","1.74800002574921"
"4.51025366783142","60.6637954711914","1.81400001049042"
"4.6778516843915","61.3056182861328","1.88100004196167"
"4.84533049166203","61.9542274475098","1.94799995422363"
"5.01036737114191","62.5112953186035","2.01399993896484"
"5.17790578305721","63.024730682373","2.08100008964539"
"5.34532498568296","63.7107086181641","2.14800000190735"
"5.51036186516285","64.2623138427734","2.21399998664856"
"5.67795988172293","64.8675994873047","2.28099989891052"
"5.84537908434868","65.4378433227539","2.34800004959106"
"6.01029675453901","65.9664077758789","2.41400003433228"
"6.17789477109909","66.5523986816406","2.48099994659424"
"6.34537357836962","67.0910110473633","2.54800009727478"
"6.5104104578495","67.6030502319336","2.61400008201599"
"6.67788879945874","68.1089324951172","2.68099999427795"
"6.84542721137404","68.6181716918945","2.74799990653992"
"7.01022613793612","69.0958251953125","2.81399989128113"
"7.17788329347968","69.6372756958008","2.88100004196167"
"7.34554091468453","70.1414337158203","2.94799995422363"
"7.51039898023009","70.6230239868164","3.01399993896484"
"7.67781818285584","71.0536117553711","3.08100008964539"
"7.84541666507721","71.5881423950195","3.14800000190735"
"8.01039393991232","72.0852203369141","3.21399998664856"
"8.17793235182762","72.4921112060547","3.28099989891052"
"8.3452919498086","72.9368438720703","3.34800004959106"
"8.51032882928848","73.4121856689453","3.41400003433228"
"8.67792684584856","73.9128952026367","3.48099994659424"
"8.84540472179651","74.351432800293","3.54800009727478"
"9.0103829279542","74.8009719848633","3.61400008201599"
"9.17786173522472","75.2171249389648","3.68099999427795"
"9.34534054249525","75.6913528442383","3.74799990653992"
"9.51043609529734","76.062385559082","3.81399989128113"
"9.67797450721264","76.4200210571289","3.88100004196167"
"9.84533410519361","76.9033355712891","3.94799995422363"
"10.0103709846735","77.325439453125","4.01399993896484"
"10.1779690012336","77.7141342163086","4.08099985122681"
"10.3455670177937","78.2080612182617","4.14799976348877"
"10.5104250833392","78.6681060791016","4.21400022506714"
"10.6779038906097","79.1696166992188","4.2810001373291"
"10.8455019071698","79.6192245483398","4.34800004959106"
"11.0104195773602","80.0413360595703","4.41400003433228"
"11.1778387799859","80.4868545532227","4.48099994659424"
"11.3453175872564","80.9423141479492","4.5479998588562"
"11.5103544667363","81.3420333862305","4.61399984359741"
"11.6778332740068","81.7640838623047","4.68100023269653"
"11.8454312905669","82.2376022338867","4.7480001449585"
"12.0104681700468","82.6996154785156","4.81400012969971"
"12.1778873726726","83.0982360839844","4.88100004196167"
"12.3453661799431","83.5746307373047","4.94799995422363"
"12.510403059423","84.0755157470703","5.01399993896484"
"12.6778818666935","84.5171432495117","5.08099985122681"
"12.8453010693192","85.0128555297852","5.14799976348877"
"13.0103379487991","85.4438934326172","5.21400022506714"
"13.1778763607144","85.8989181518555","5.2810001373291"
"13.3454147726297","86.3706512451172","5.34800004959106"
"13.5103920474648","86.827766418457","5.41400003433228"
"13.6779900640249","87.2157211303711","5.48099994659424"
"13.8454688712955","87.5598754882813","5.5479998588562"
"14.0103865414858","88.0303268432617","5.61399984359741"
"14.1779845580459","88.3885269165039","5.68100023269653"
"14.3454037606716","88.8204040527344","5.7480001449585"
"14.5103810355067","89.2636489868164","5.81400012969971"
"14.677919447422","89.6538467407227","5.88100004196167"
"14.8454578593373","90.0235443115234","5.94799995422363"
"15.0103755295277","90.4105224609375","6.01399993896484"
"15.1777947321534","90.8097763061523","6.08099985122681"
"15.3453331440687","91.3119354248047","6.14799976348877"
"15.5104296281934","91.7736892700195","6.21400022506714"
"15.6779084354639","92.188591003418","6.2810001373291"
"15.8454459160566","92.6254501342773","6.34800004959106"
"16.0104241222143","92.9287185668945","6.41400003433228"
"16.1778423935175","93.2800445556641","6.48099994659424"
"16.3453817367554","93.7744598388672","6.5479998588562"
"16.5104772895575","94.2082901000977","6.61399984359741"
"16.6778974235058","94.7385711669922","6.68100023269653"
"16.845315694809","95.1334457397461","6.7480001449585"
